时间,末总人口(万人)
1949,54167
1950,55196
1951,56300
1952,57482
1953,58796
1954,60266
1955,61465
1956,62828
1957,64653
1958,65994
1959,67207
1960,66207
1961,65859
1962,67296
1963,69172
1964,70499
1965,72538
1966,74542
1967,76368
1968,78534
1969,80671
1970,82992
1971,85229
1972,87177
1973,89211
1974,90859
1975,92420
1976,93717
1977,94974
1978,96259
1979,97542
1980,98705
1981,100072
1982,101654
1983,103008
1984,104357
1985,105851
1986,107507
1987,109300
1988,111026
1989,112704
1990,114333
1991,115823
1992,117171
1993,118517
1994,119850
1995,121121
1996,122389
1997,123626
1998,124761
1999,125786
2000,126743
2001,127627
2002,128453
2003,129227
2004,129988
2005,130756
2006,131448
2007,132129
2008,132802
2009,133450
2010,134091
2011,134916
2012,135922
2013,136726
2014,137646
2015,138326
2016,139232
2017,140011
2018,140541
2019,141008
2020,141212
2021,141260
2022,141175

