population1,age1,2050,,population2,age2,2045£¬¦Ã=0.43,,population3,age3,2040£¬¦Ã=0.43,,population4,age4,2030£¬¦Ã=0.43,population5,age5,2035£¬¦Ã=0.43
0.901001692,,,,0.966731457,,,,1.040079217,,,,0.84196068,,,0.965081397,,
0.905800606,,,,0.985562007,,,,1.031414136,,,,0.820028867,,,0.933337492,,
0.907946443,,,,0.995908907,,,,1.00819816,,,,0.795130866,,,0.89436761,,
0.922681477,,,,1.011377147,,,,0.987691877,,,,0.783244102,,,0.865324382,,
0.940629889,,,,1.020972104,,,,0.962820073,,,,0.775618526,,,0.838712986,,
0.960787166,,,,1.022668105,,,,0.935082302,,,,0.771805771,,,0.815341065,,
0.981875186,,,,1.016166266,,,,0.906005439,,,,0.771269928,,,0.795867146,,
1.001602185,,,,1.002236983,,,,0.876787233,,,,0.773164336,,,0.780451707,,
1.017739926,,,,0.982356999,,,,0.848790164,,,,0.838171991,,,0.769294724,,
1.027748175,,,,0.957918941,,,,0.822974865,,,,0.963635491,,,0.762123192,,
1.029653316,,,,0.930484024,,,,0.800202011,,,,1.073406206,,,0.75856303,,
1.023200882,,,,0.901620867,,,,0.78116668,,,,1.153515222,,,0.758134694,,
1.009215458,,,,0.872568095,,,,0.766069785,,,,1.213945367,,,0.760048699,,
0.989108553,,,,0.844607911,,,,0.755034733,,,,1.256467039,,,0.823945919,,
0.964526521,,,,0.818939046,,,,0.74803336,,,,1.282870354,,,0.947451524,,
0.936908992,,,,0.79628522,,,,0.74456477,,,,1.294906564,,,1.055499271,,
0.907788227,,,,0.77729142,,,,0.744111448,,,,1.294159697,,,1.134296746,,
0.878489261,,,,0.762232323,,,,0.745970371,,,,1.282318906,,,1.193740459,,
0.850406317,,,,0.751333333,,,,0.808845099,,,,1.261189768,,,1.235675198,,
0.824506717,,,,0.744327824,,,,0.930165786,,,,1.232276692,,,1.261625781,,
0.801556877,,,,0.740752438,,,,1.03620957,,,,1.197551947,,,1.273350091,,
0.782295461,,,,0.740180862,,,,1.113513997,,,,1.159916715,,,1.2724962,,
0.767086303,,,,0.741998756,,,,1.171887656,,,,1.122291538,,,1.260811095,,
0.756042266,,,,0.804567206,,,,1.213032729,,,,1.087885255,,,1.239960767,,
0.748887873,,,,0.925318406,,,,1.238438289,,,,1.059626409,,,1.211416649,,
0.745250788,,,,1.03091184,,,,1.249923646,,,,1.039953624,,,1.177211852,,
0.744640467,,,,1.107878426,,,,1.249050214,,,,1.028305882,,,1.140143106,,
0.746359057,,,,1.165909733,,,,1.237456296,,,,1.023523429,,,1.103006097,,
0.809341096,,,,1.206823487,,,,1.216901043,,,,1.024662686,,,1.06908046,,
0.930921245,,,,1.232023803,,,,1.188750017,,,,1.030247721,,,1.04116803,,
1.037313179,,,,1.243444994,,,,1.15512288,,,,1.04032703,,,1.021790491,,
1.114831326,,,,1.242530866,,,,1.118656925,,,,1.059158661,,,1.010285028,,
1.17319563,,,,1.230865494,,,,1.082050806,,,,1.092173836,,,1.005462358,,
1.214287781,,,,1.210253411,,,,1.048581012,,,,1.145018119,,,1.006447585,,
1.239740798,,,,1.182270481,,,,1.021213152,,,,1.223121233,,,1.012001248,,
1.25124662,,,,1.148772293,,,,1.002171055,,,,1.328092456,,,1.021917014,,
1.250298717,,,,1.112423419,,,,0.990840502,,,,1.446282181,,,1.040422131,,
1.238721692,,,,1.076138164,,,,0.986277244,,,,1.560709035,,,1.073085683,,
1.218010668,,,,1.04285938,,,,0.98730397,,,,1.65386004,,,1.125145129,,
1.189684059,,,,1.015472253,,,,0.99263496,,,,1.708489934,,,1.201875519,,
1.155745018,,,,0.996323635,,,,1.002197761,,,,1.712697874,,,1.304990912,,
1.118854746,,,,0.984777565,,,,1.020121855,,,,1.675180943,,,1.421035618,,
1.082066261,,,,0.980011597,,,,1.051998165,,,,1.610309669,,,1.533417918,,
1.048234545,,,,0.980740922,,,,1.102859396,,,,1.532161411,,,1.624791259,,
1.020441898,,,,0.985859083,,,,1.178062059,,,,1.455076099,,,1.678359192,,
1.000942788,,,,0.995183171,,,,1.27917985,,,,1.390815182,,,1.682300464,,
0.989143623,,,,1.01287294,,,,1.393037779,,,,1.342631121,,,1.645219526,,
0.984025305,,,,1.044310433,,,,1.503149658,,,,1.311514215,,,1.581073177,,
0.984509259,,,,1.094721859,,,,1.592681544,,,,1.298364785,,,1.503924545,,
0.989351658,,,,1.16931591,,,,1.645004992,,,,1.304158508,,,1.427759437,,
0.998424787,,,,1.269715354,,,,1.64855885,,,,1.328546407,,,1.364205689,,
1.015943736,,,,1.382819997,,,,1.611820709,,,,1.367703349,,,1.316487032,,
1.047062275,,,,1.491938853,,,,1.548235983,,,,1.416177746,,,1.285310003,,
1.097346063,,,,1.580603213,,,,1.47192122,,,,1.469276971,,,1.271859069,,
1.171816028,,,,1.632022251,,,,1.396391419,,,,1.521702058,,,1.276867388,,
1.272545321,,,,1.635117763,,,,1.333507369,,,,1.569660167,,,1.300427124,,
1.385460506,,,,1.597462468,,,,1.285567752,,,,1.611916857,,,1.337905684,,
1.494779028,,,,1.533483754,,,,1.254297063,,,,1.6497875,,,1.384968981,,
1.583476048,,,,1.456818209,,,,1.240437936,,,,1.68370467,,,1.436577515,,
1.634399753,,,,1.380693832,,,,1.244475161,,,,1.713721208,,,1.487281976,,
1.636143501,,,,1.31668827,,,,1.26626872,,,,1.738975647,,,1.53311859,,
1.597163587,,,,1.26790442,,,,1.302068827,,,,1.750845516,,,1.573676349,,
1.531436175,,,,1.235508384,,,,1.347075865,,,,1.739702536,,,1.609706819,,
1.452778751,,,,1.22031461,,,,1.396410707,,,,1.695009159,,,1.641708095,,
1.374452504,,,,1.222730293,,,,1.444638916,,,,1.606993052,,,1.669653174,,
1.307857159,,,,1.242350082,,,,1.487604061,,,,1.470647648,,,1.692432527,,
1.256472992,,,,1.275792758,,,,1.525256182,,,,1.306288982,,,1.701915044,,
