age,population
1,0.79258089
2,0.789912395
3,0.782596299
4,0.847680052
5,0.974010241
6,1.084639596
7,1.165417213
8,1.22637641
9,1.269379493
10,1.295990575
11,1.30811239
12,1.307391673
13,1.295459028
14,1.274033847
15,1.244875029
16,1.209938177
17,1.172062308
18,1.134109767
19,1.099432957
20,1.070997001
21,1.051170091
22,1.03944525
23,1.034730708
24,1.035950804
25,1.041695549
26,1.051890693
27,1.070947342
28,1.104396949
29,1.157886132
30,1.236680409
31,1.342661868
32,1.462012059
33,1.577358936
34,1.671343911
35,1.726625337
36,1.73105573
37,1.693439838
38,1.628167059
39,1.54956343
40,1.471930993
41,1.407255559
42,1.358773819
43,1.327673258
44,1.314648789
45,1.32081281
46,1.345757667
47,1.385598121
48,1.43510131
49,1.489228076
50,1.542858032
51,1.591721619
52,1.635450276
53,1.674329704
54,1.709224305
55,1.74042349
56,1.767294292
57,1.780314349
58,1.77031634
59,1.726587814
60,1.639339808
61,1.503783525
62,1.340072894
63,1.174980576
64,1.034370877
65,0.94383073
66,0.920455312
67,0.947597029
68,0.99993333
69,1.052002354
70,1.078126073
71,1.057612504
72,0.99822076
73,0.913066264
74,0.81736519
75,0.72317162
76,0.64262803
77,0.573446762
78,0.512763402
79,0.459536779
80,0.411536591
81,0.368918757
82,0.327294307
83,0.286861247
84,0.24491386
85,0.204521525
86,0.162275686
87,0.128429795
88,0.089651622
89,0.059459738
90,0.022389545
91,0.014475635
